team,team_code,shirt_no,position,player_name,first_names,last_names,name_on_shirt,dob,club,height_cm,caps,goals,source_status,parser_confidence
Switzerland,SUI,7,FW,Breel Embolo,Breel,Embolo,EMBOLO,"February 14, 1997",Rennes,,86,24,cross_checked,high
Switzerland,SUI,8,MF,Remo Freuler,Remo,Freuler,FREULER,"April 15, 1992",Bologna,,88,11,cross_checked,high
Switzerland,SUI,9,MF,Johan Manzambi,Johan,Manzambi,MANZAMBI,"October 14, 2005",SC Freiburg,,12,3,cross_checked,high
Switzerland,SUI,10,MF,Granit Xhaka,Granit,Xhaka,XHAKA,"September 27, 1992",Sunderland,,146,17,cross_checked,high
Switzerland,SUI,11,FW,Dan Ndoye,Dan,Ndoye,NDOYE,"October 25, 2000",Nottingham Forest,,31,8,cross_checked,high
Switzerland,SUI,12,GK,Yvon Mvogo,Yvon,Mvogo,MVOGO,"June 6, 1994",Lorient,,13,0,cross_checked,high
Switzerland,SUI,13,DF,Ricardo Rodriguez,Ricardo,Rodriguez,RODRIGUEZ,"August 25, 1992",Real Betis,,138,9,cross_checked,high
Switzerland,SUI,14,MF,Ardon Jashari,Ardon,Jashari,JASHARI,"July 30, 2002",Milan,,8,0,cross_checked,high
Switzerland,SUI,15,MF,Djibril Sow,Djibril,Sow,SOW,"February 6, 1997",Sevilla,,52,0,cross_checked,high
Switzerland,SUI,16,FW,Christian Fassnacht,Christian,Fassnacht,FASSNACHT,"November 11, 1993",Young Boys,,23,5,cross_checked,high
Switzerland,SUI,17,FW,Rubén Vargas,Rubén,Vargas,VARGAS,"August 5, 1998",Sevilla,,61,11,cross_checked,high
Switzerland,SUI,18,DF,Eray Cömert,Eray,Cömert,CÖMERT,"February 4, 1998",Valencia,,22,0,cross_checked,high
Switzerland,SUI,19,FW,Noah Okafor,Noah,Okafor,OKAFOR,"May 24, 2000",Leeds United,,25,2,cross_checked,high
Switzerland,SUI,20,MF,Michel Aebischer,Michel,Aebischer,AEBISCHER,"January 6, 1997",Pisa,,40,2,cross_checked,high
Switzerland,SUI,21,GK,Marvin Keller,Marvin,Keller,KELLER,"July 3, 2002",Young Boys,,1,0,cross_checked,high
Switzerland,SUI,22,MF,Fabian Rieder,Fabian,Rieder,RIEDER,"February 16, 2002",FC Augsburg,,28,1,cross_checked,high
Switzerland,SUI,23,FW,Zeki Amdouni,Zeki,Amdouni,AMDOUNI,"December 4, 2000",Burnley,,29,11,cross_checked,high
Switzerland,SUI,24,DF,Aurèle Amenda,Aurèle,Amenda,AMENDA,"July 31, 2003",Eintracht Frankfurt,,7,0,cross_checked,high
Switzerland,SUI,25,DF,Luca Jaquez,Luca,Jaquez,JAQUEZ,"June 2, 2003",VfB Stuttgart,,3,0,cross_checked,high
Switzerland,SUI,26,FW,Cedric Itten,Cedric,Itten,ITTEN,"December 27, 1996",Fortuna Düsseldorf,,15,5,cross_checked,high
Brazil,BRA,1,GK,Alisson,,Alisson,ALISSON,"October 2, 1992",Liverpool,,78,0,cross_checked,high
Brazil,BRA,2,MF,Éderson Silva,Éderson,Silva,SILVA,"July 7, 1999",Atalanta,,3,0,cross_checked,high
Brazil,BRA,3,DF,Gabriel Magalhães,Gabriel,Magalhães,MAGALHÃES,"December 19, 1997",Arsenal,,17,1,cross_checked,high
Brazil,BRA,4,DF,Marquinhos,,Marquinhos,MARQUINHOS,"May 14, 1994",Paris Saint-Germain,,105,7,cross_checked,high
Brazil,BRA,5,MF,Casemiro,,Casemiro,CASEMIRO,"February 23, 1992",Manchester United,,86,9,cross_checked,high
Brazil,BRA,6,DF,Alex Sandro,Alex,Sandro,SANDRO,"January 26, 1991",Flamengo,,45,2,cross_checked,high
Brazil,BRA,7,FW,Vinícius Júnior,Vinícius,Júnior,JÚNIOR,"July 12, 2000",Real Madrid,,49,9,cross_checked,high
Brazil,BRA,8,MF,Bruno Guimarães,Bruno,Guimarães,GUIMARÃES,"November 16, 1997",Newcastle United,,43,3,cross_checked,high
Brazil,BRA,9,FW,Matheus Cunha,Matheus,Cunha,CUNHA,"May 27, 1999",Manchester United,,23,1,cross_checked,high
Brazil,BRA,10,FW,Neymar,,Neymar,NEYMAR,"February 5, 1992",Santos,,128,79,cross_checked,high
Brazil,BRA,11,FW,Raphinha,,Raphinha,RAPHINHA,"December 14, 1996",Barcelona,,39,11,cross_checked,high
Brazil,BRA,12,GK,Weverton,,Weverton,WEVERTON,"December 13, 1987",Grêmio,,11,0,cross_checked,high
Brazil,BRA,13,DF,Danilo Luiz,Danilo,Luiz,LUIZ,"July 15, 1991",Flamengo,,70,1,cross_checked,high
Brazil,BRA,14,DF,Bremer,,Bremer,BREMER,"March 18, 1997",Juventus,,8,1,cross_checked,high
Brazil,BRA,15,DF,Léo Pereira,Léo,Pereira,PEREIRA,"January 31, 1996",Flamengo,,4,0,cross_checked,high
Brazil,BRA,16,DF,Douglas Santos,Douglas,Santos,SANTOS,"March 22, 1994",Zenit Saint Petersburg,,7,0,cross_checked,high
Brazil,BRA,17,MF,Fabinho,,Fabinho,FABINHO,"October 23, 1993",Al-Ittihad,,33,0,cross_checked,high
Brazil,BRA,18,MF,Danilo Santos,Danilo,Santos,SANTOS,"April 29, 2001",Botafogo,,4,2,cross_checked,high
Brazil,BRA,19,FW,Endrick,,Endrick,ENDRICK,"July 21, 2006",Lyon,,17,4,cross_checked,high
Brazil,BRA,20,MF,Lucas Paquetá,Lucas,Paquetá,PAQUETÁ,"August 27, 1997",Flamengo,,63,13,cross_checked,high
Brazil,BRA,21,FW,Luiz Henrique,Luiz,Henrique,HENRIQUE,"January 2, 2001",Zenit Saint Petersburg,,15,2,cross_checked,high
Brazil,BRA,22,FW,Gabriel Martinelli,Gabriel,Martinelli,MARTINELLI,"June 18, 2001",Arsenal,,23,4,cross_checked,high
Brazil,BRA,23,GK,Ederson Moraes,Ederson,Moraes,MORAES,"August 17, 1993",Fenerbahçe,,32,0,cross_checked,high
Brazil,BRA,24,DF,Roger Ibañez,Roger,Ibañez,IBAÑEZ,"November 23, 1998",Al-Ahli,,7,0,cross_checked,high
Brazil,BRA,25,FW,Igor Thiago,Igor,Thiago,THIAGO,"June 26, 2001",Brentford,,4,2,cross_checked,high
Brazil,BRA,26,FW,Rayan,,Rayan,RAYAN,"August 3, 2006",Bournemouth,,2,1,cross_checked,high
Haiti,HAI,1,GK,Johny Placide,Johny,Placide,PLACIDE,"January 29, 1988",Bastia,,82,0,cross_checked,high
Haiti,HAI,2,DF,Carlens Arcus,Carlens,Arcus,ARCUS,"June 28, 1996",Angers,,56,1,cross_checked,high
Haiti,HAI,3,DF,Keeto Thermoncy,Keeto,Thermoncy,THERMONCY,"March 29, 2006",Young Boys,,1,0,cross_checked,high
Haiti,HAI,4,DF,Ricardo Adé,Ricardo,Adé,ADÉ,"May 21, 1990",LDU Quito,,59,2,cross_checked,high
Haiti,HAI,5,DF,Hannes Delcroix,Hannes,Delcroix,DELCROIX,"February 28, 1999",Lugano,,7,0,cross_checked,high
Haiti,HAI,6,MF,Carl Sainté,Carl,Sainté,SAINTÉ,"August 9, 2002",El Paso Locomotive FC,,26,0,cross_checked,high
Haiti,HAI,7,FW,Derrick Etienne Jr.,Derrick Etienne,Jr.,JR.,"November 25, 1996",Toronto FC,,51,8,cross_checked,high
Haiti,HAI,8,DF,Martin Expérience,Martin,Expérience,EXPÉRIENCE,"March 9, 1999",Nancy,,21,0,cross_checked,high
Haiti,HAI,9,FW,Duckens Nazon,Duckens,Nazon,NAZON,"April 7, 1994",Esteghlal,,82,44,cross_checked,high
Haiti,HAI,10,MF,Jean-Ricner Bellegarde,Jean-Ricner,Bellegarde,BELLEGARDE,"June 27, 1998",Wolverhampton Wanderers,,10,0,cross_checked,high
Haiti,HAI,11,FW,Louicius Deedson,Louicius,Deedson,DEEDSON,"February 11, 2001",FC Dallas,,32,10,cross_checked,high
Haiti,HAI,12,GK,Alexandre Pierre,Alexandre,Pierre,PIERRE,"February 25, 2001",Sochaux,,16,0,cross_checked,high
Haiti,HAI,13,DF,Duke Lacroix,Duke,Lacroix,LACROIX,"October 14, 1993",Colorado Springs Switchbacks FC,,16,3,cross_checked,high
Haiti,HAI,14,DF,Garven Metusala,Garven,Metusala,METUSALA,"December 31, 1999",Colorado Springs Switchbacks FC,,16,0,cross_checked,high
Haiti,HAI,15,FW,Ruben Providence,Ruben,Providence,PROVIDENCE,"July 7, 2001",Almere City,,15,3,cross_checked,high
Haiti,HAI,16,FW,Lenny Joseph,Lenny,Joseph,JOSEPH,"October 12, 2000",Ferencváros,,2,1,cross_checked,high
Haiti,HAI,17,MF,Danley Jean Jacques,Danley Jean,Jacques,JACQUES,"May 20, 2000",Philadelphia Union,,31,6,cross_checked,high
Haiti,HAI,18,FW,Wilson Isidor,Wilson,Isidor,ISIDOR,"August 27, 2000",Sunderland,,4,2,cross_checked,high
Haiti,HAI,19,FW,Yassin Fortuné,Yassin,Fortuné,FORTUNÉ,"January 30, 1999",Vizela,,4,0,cross_checked,high
Haiti,HAI,20,FW,Frantzdy Pierrot,Frantzdy,Pierrot,PIERROT,"March 29, 1995",Çaykur Rizespor,,51,34,cross_checked,high
Haiti,HAI,21,FW,Josué Casimir,Josué,Casimir,CASIMIR,"September 24, 2001",Auxerre,,7,0,cross_checked,high
Haiti,HAI,22,DF,Jean-Kévin Duverne,Jean-Kévin,Duverne,DUVERNE,"July 12, 1997",Gent,,17,1,cross_checked,high
Haiti,HAI,23,GK,Josué Duverger,Josué,Duverger,DUVERGER,"April 27, 2000",Cosmos Koblenz,,7,0,cross_checked,high
Haiti,HAI,24,DF,Wilguens Paugain,Wilguens,Paugain,PAUGAIN,"August 24, 2001",Zulte Waregem,,8,0,cross_checked,high
Haiti,HAI,25,MF,Dominique Simon,Dominique,Simon,SIMON,"July 29, 2000",Tatran Prešov,,2,0,cross_checked,high
Haiti,HAI,26,MF,Woodensky Pierre,Woodensky,Pierre,PIERRE,"December 30, 2004",Violette,,1,0,cross_checked,high
Morocco,MAR,1,GK,Yassine Bounou,Yassine,Bounou,BOUNOU,"April 5, 1991",Al-Hilal,,90,0,cross_checked,high
Morocco,MAR,2,DF,Achraf Hakimi,Achraf,Hakimi,HAKIMI,"November 4, 1998",Paris Saint-Germain,,96,11,cross_checked,high
Morocco,MAR,3,DF,Noussair Mazraoui,Noussair,Mazraoui,MAZRAOUI,"November 14, 1997",Manchester United,,45,2,cross_checked,high
Morocco,MAR,4,MF,Sofyan Amrabat,Sofyan,Amrabat,AMRABAT,"August 21, 1996",Real Betis,,75,0,cross_checked,high
Morocco,MAR,5,DF,Marwane Saâdane,Marwane,Saâdane,SAÂDANE,"January 17, 1992",Al-Fateh,,8,0,cross_checked,high
Morocco,MAR,6,MF,Ayyoub Bouaddi,Ayyoub,Bouaddi,BOUADDI,"October 2, 2007",Lille,,3,0,cross_checked,high
Morocco,MAR,7,MF,Chemsdine Talbi,Chemsdine,Talbi,TALBI,"May 9, 2005",Sunderland,,5,0,cross_checked,high
Morocco,MAR,8,MF,Azzedine Ounahi,Azzedine,Ounahi,OUNAHI,"April 19, 2000",Girona,,49,9,cross_checked,high
Morocco,MAR,9,FW,Soufiane Rahimi,Soufiane,Rahimi,RAHIMI,"June 2, 1996",Al Ain,,37,12,cross_checked,high
Morocco,MAR,10,FW,Brahim Díaz,Brahim,Díaz,DÍAZ,"August 3, 1999",Real Madrid,,26,14,cross_checked,high
Morocco,MAR,11,MF,Ismael Saibari,Ismael,Saibari,SAIBARI,"January 28, 2001",PSV Eindhoven,,31,9,cross_checked,high
Morocco,MAR,12,GK,Munir Mohamedi,Munir,Mohamedi,MOHAMEDI,"May 10, 1989",RS Berkane,,53,0,cross_checked,high
Morocco,MAR,13,DF,Zakaria El Ouahdi,Zakaria El,Ouahdi,OUAHDI,"December 31, 2001",Genk,,3,0,cross_checked,high
Morocco,MAR,14,DF,Issa Diop,Issa,Diop,DIOP,"January 9, 1997",Fulham,,4,0,cross_checked,high
Morocco,MAR,15,MF,Samir El Mourabet,Samir El,Mourabet,MOURABET,"October 6, 2005",Strasbourg,,4,0,cross_checked,high
Morocco,MAR,16,MF,Gessime Yassine,Gessime,Yassine,YASSINE,"November 22, 2005",Strasbourg,,5,0,cross_checked,high
Morocco,MAR,17,FW,Amine Sbaï,Amine,Sbaï,SBAÏ,"November 5, 2000",Angers,,2,0,cross_checked,high
Morocco,MAR,18,DF,Chadi Riad,Chadi,Riad,RIAD,"June 17, 2003",Crystal Palace,,6,1,cross_checked,high
Morocco,MAR,19,DF,Youssef Belammari,Youssef,Belammari,BELAMMARI,"September 20, 1998",Al Ahly,,19,0,cross_checked,high
Morocco,MAR,20,FW,Ayoub El Kaabi,Ayoub El,Kaabi,KAABI,"June 25, 1993",Olympiacos,,71,35,cross_checked,high
Morocco,MAR,21,FW,Ayoube Amaimouni,Ayoube,Amaimouni,AMAIMOUNI,"November 30, 2004",Eintracht Frankfurt,,2,0,cross_checked,high
Morocco,MAR,22,GK,Ahmed Reda Tagnaouti,Ahmed Reda,Tagnaouti,TAGNAOUTI,"April 5, 1996",AS FAR,,3,0,cross_checked,high
Morocco,MAR,23,MF,Bilal El Khannouss,Bilal El,Khannouss,KHANNOUSS,"May 10, 2004",VfB Stuttgart,,37,3,cross_checked,high
Morocco,MAR,24,MF,Neil El Aynaoui,Neil El,Aynaoui,AYNAOUI,"July 2, 2001",Roma,,16,2,cross_checked,high
Morocco,MAR,25,DF,Redouane Halhal,Redouane,Halhal,HALHAL,"March 5, 2003",Mechelen,,3,0,cross_checked,high
Morocco,MAR,26,DF,Anass Salah-Eddine,Anass,Salah-Eddine,SALAH-EDDINE,"January 18, 2002",PSV Eindhoven,,9,0,cross_checked,high
Scotland,SCO,1,GK,Angus Gunn,Angus,Gunn,GUNN,"January 22, 1996",Nottingham Forest,,22,0,cross_checked,high
Scotland,SCO,2,DF,Aaron Hickey,Aaron,Hickey,HICKEY,"June 10, 2002",Brentford,,21,0,cross_checked,high
Scotland,SCO,3,DF,Andy Robertson,Andy,Robertson,ROBERTSON,"March 11, 1994",Liverpool,,94,4,cross_checked,high
Scotland,SCO,4,MF,Scott McTominay,Scott,McTominay,MCTOMINAY,"December 8, 1996",Napoli,,70,15,cross_checked,high
Scotland,SCO,5,DF,Grant Hanley,Grant,Hanley,HANLEY,"November 20, 1991",Hibernian,,68,2,cross_checked,high
Scotland,SCO,6,DF,Kieran Tierney,Kieran,Tierney,TIERNEY,"June 5, 1997",Celtic,,56,2,cross_checked,high
Scotland,SCO,7,MF,John McGinn,John,McGinn,MCGINN,"October 18, 1994",Aston Villa,,86,20,cross_checked,high
Scotland,SCO,8,MF,Tyler Fletcher,Tyler,Fletcher,FLETCHER,"March 19, 2007",Manchester United,,2,0,cross_checked,high
Scotland,SCO,9,FW,Lyndon Dykes,Lyndon,Dykes,DYKES,"October 7, 1995",Charlton Athletic,,51,10,cross_checked,high
Scotland,SCO,10,FW,Ché Adams,Ché,Adams,ADAMS,"July 13, 1996",Torino,,47,13,cross_checked,high
Scotland,SCO,11,MF,Ryan Christie,Ryan,Christie,CHRISTIE,"February 22, 1995",Bournemouth,,68,10,cross_checked,high
Scotland,SCO,12,GK,Liam Kelly,Liam,Kelly,KELLY,"January 23, 1996",Rangers,,3,0,cross_checked,high
Scotland,SCO,13,DF,Jack Hendry,Jack,Hendry,HENDRY,"May 7, 1995",Al-Ettifaq,,38,3,cross_checked,high
Scotland,SCO,14,FW,Ross Stewart,Ross,Stewart,STEWART,"July 11, 1996",Southampton,,3,0,cross_checked,high
Scotland,SCO,15,DF,John Souttar,John,Souttar,SOUTTAR,"September 25, 1996",Rangers,,24,2,cross_checked,high
Scotland,SCO,16,DF,Dominic Hyam,Dominic,Hyam,HYAM,"December 20, 1995",Wrexham,,4,0,cross_checked,high
Scotland,SCO,17,FW,Ben Gannon-Doak,Ben,Gannon-Doak,GANNON-DOAK,"November 11, 2005",Bournemouth,,14,1,cross_checked,high
Scotland,SCO,18,FW,George Hirst,George,Hirst,HIRST,"February 15, 1999",Ipswich Town,,10,1,cross_checked,high
Scotland,SCO,19,MF,Lewis Ferguson,Lewis,Ferguson,FERGUSON,"August 24, 1999",Bologna,,24,1,cross_checked,high
Scotland,SCO,20,FW,Lawrence Shankland,Lawrence,Shankland,SHANKLAND,"August 10, 1995",Heart of Midlothian,,20,7,cross_checked,high
Scotland,SCO,21,GK,Craig Gordon,Craig,Gordon,GORDON,"December 31, 1982",Heart of Midlothian,,84,0,cross_checked,high
Scotland,SCO,22,DF,Nathan Patterson,Nathan,Patterson,PATTERSON,"October 16, 2001",Everton,,26,1,cross_checked,high
Scotland,SCO,23,MF,Kenny McLean,Kenny,McLean,MCLEAN,"January 8, 1992",Norwich City,,58,3,cross_checked,high
Scotland,SCO,24,DF,Anthony Ralston,Anthony,Ralston,RALSTON,"November 16, 1998",Celtic,,27,1,cross_checked,high
Scotland,SCO,25,FW,Findlay Curtis,Findlay,Curtis,CURTIS,"June 9, 2006",Kilmarnock,,3,1,cross_checked,high
Scotland,SCO,26,DF,Scott McKenna,Scott,McKenna,MCKENNA,"November 12, 1996",Dinamo Zagreb,,50,1,cross_checked,high
Australia,AUS,1,GK,Mathew Ryan,Mathew,Ryan,RYAN,"April 8, 1992",Levante,,104,0,cross_checked,high
Australia,AUS,2,DF,Miloš Degenek,Miloš,Degenek,DEGENEK,"April 28, 1994",APOEL,,57,1,cross_checked,high
Australia,AUS,3,DF,Alessandro Circati,Alessandro,Circati,CIRCATI,"October 10, 2003",Parma,,13,1,cross_checked,high
Australia,AUS,4,DF,Jacob Italiano,Jacob,Italiano,ITALIANO,"July 30, 2001",Grazer AK,,5,0,cross_checked,high
Australia,AUS,5,DF,Jordan Bos,Jordan,Bos,BOS,"October 29, 2002",Feyenoord,,27,4,cross_checked,high
Australia,AUS,6,DF,Jason Geria,Jason,Geria,GERIA,"May 10, 1993",Albirex Niigata,,14,0,cross_checked,high
Australia,AUS,7,FW,Mathew Leckie,Mathew,Leckie,LECKIE,"February 4, 1991",Melbourne City,,80,14,cross_checked,high
Australia,AUS,8,MF,Connor Metcalfe,Connor,Metcalfe,METCALFE,"November 5, 1999",FC St. Pauli,,36,1,cross_checked,high
Australia,AUS,9,FW,Mohamed Touré,Mohamed,Touré,TOURÉ,"March 26, 2004",Norwich City,,10,2,cross_checked,high
Australia,AUS,10,FW,Ajdin Hrustic,Ajdin,Hrustic,HRUSTIC,"July 5, 1996",Heracles Almelo,,37,4,cross_checked,high
Australia,AUS,11,FW,Awer Mabil,Awer,Mabil,MABIL,"September 15, 1995",Castellón,,38,10,cross_checked,high
Australia,AUS,12,GK,Paul Izzo,Paul,Izzo,IZZO,"January 6, 1995",Randers,,4,0,cross_checked,high
Australia,AUS,13,MF,Aiden O'Neill,Aiden,O'Neill,O'NEILL,"July 4, 1998",New York City FC,,31,0,cross_checked,high
Australia,AUS,14,MF,Cammy Devlin,Cammy,Devlin,DEVLIN,"June 7, 1998",Heart of Midlothian,,5,0,cross_checked,high
Australia,AUS,15,DF,Kai Trewin,Kai,Trewin,TREWIN,"May 18, 2001",New York City FC,,6,0,cross_checked,high
Australia,AUS,16,DF,Aziz Behich,Aziz,Behich,BEHICH,"December 16, 1990",Melbourne City,,84,3,cross_checked,high
Australia,AUS,17,FW,Nestory Irankunda,Nestory,Irankunda,IRANKUNDA,"February 9, 2006",Watford,,15,5,cross_checked,high
Australia,AUS,18,GK,Patrick Beach,Patrick,Beach,BEACH,"August 6, 2003",Melbourne City,,2,0,cross_checked,high
Australia,AUS,19,DF,Harry Souttar,Harry,Souttar,SOUTTAR,"October 22, 1998",Leicester City,,38,11,cross_checked,high
Australia,AUS,20,FW,Cristian Volpato,Cristian,Volpato,VOLPATO,"November 15, 2003",Sassuolo,,1,0,cross_checked,high
Australia,AUS,21,DF,Cameron Burgess,Cameron,Burgess,BURGESS,"October 21, 1995",Swansea City,,27,0,cross_checked,high
Australia,AUS,22,MF,Jackson Irvine,Jackson,Irvine,IRVINE,"March 7, 1993",FC St. Pauli,,82,14,cross_checked,high
Australia,AUS,23,FW,Nishan Velupillay,Nishan,Velupillay,VELUPILLAY,"May 7, 2001",Melbourne Victory,,7,3,cross_checked,high
Australia,AUS,24,MF,Paul Okon-Engstler,Paul,Okon-Engstler,OKON-ENGSTLER,"January 24, 2005",Sydney FC,,6,0,cross_checked,high
Australia,AUS,25,DF,Lucas Herrington,Lucas,Herrington,HERRINGTON,"September 5, 2007",Colorado Rapids,,4,0,cross_checked,high
Australia,AUS,26,FW,Tete Yengi,Tete,Yengi,YENGI,"November 28, 2000",Machida Zelvia,,1,1,cross_checked,high
Paraguay,PAR,1,GK,Gatito Fernández,Gatito,Fernández,FERNÁNDEZ,"March 29, 1988",Cerro Porteño,,31,0,cross_checked,high
Paraguay,PAR,2,DF,Gustavo Velázquez,Gustavo,Velázquez,VELÁZQUEZ,"April 17, 1991",Cerro Porteño,,13,1,cross_checked,high
Paraguay,PAR,3,DF,Omar Alderete,Omar,Alderete,ALDERETE,"December 26, 1996",Sunderland,,36,3,cross_checked,high
Paraguay,PAR,4,DF,Juan José Cáceres,Juan José,Cáceres,CÁCERES,"June 1, 2000",Dynamo Moscow,,17,0,cross_checked,high
Paraguay,PAR,5,DF,Fabián Balbuena,Fabián,Balbuena,BALBUENA,"August 23, 1991",Grêmio,,48,2,cross_checked,high
Paraguay,PAR,6,DF,Júnior Alonso,Júnior,Alonso,ALONSO,"February 9, 1993",Atlético Mineiro,,71,3,cross_checked,high
Paraguay,PAR,7,MF,Ramón Sosa,Ramón,Sosa,SOSA,"August 31, 1999",Palmeiras,,29,1,cross_checked,high
Paraguay,PAR,8,MF,Diego Gómez,Diego,Gómez,GÓMEZ,"March 27, 2003",Brighton & Hove Albion,,24,3,cross_checked,high
Paraguay,PAR,9,FW,Antonio Sanabria,Antonio,Sanabria,SANABRIA,"March 4, 1996",Cremonese,,48,7,cross_checked,high
Paraguay,PAR,10,MF,Miguel Almirón,Miguel,Almirón,ALMIRÓN,"February 10, 1994",Atlanta United FC,,76,10,cross_checked,high
Paraguay,PAR,11,MF,Maurício,,Maurício,MAURÍCIO,"June 22, 2001",Palmeiras,,3,0,cross_checked,high
Paraguay,PAR,12,GK,Orlando Gill,Orlando,Gill,GILL,"June 11, 2000",San Lorenzo,,6,0,cross_checked,high
Paraguay,PAR,13,DF,José Canale,José,Canale,CANALE,"July 20, 1996",Lanús,,2,0,cross_checked,high
Paraguay,PAR,14,MF,Andrés Cubas,Andrés,Cubas,CUBAS,"May 11, 1996",Vancouver Whitecaps FC,,33,0,cross_checked,high
Paraguay,PAR,15,DF,Gustavo Gómez,Gustavo,Gómez,GÓMEZ,"May 6, 1993",Palmeiras,,89,4,cross_checked,high
Paraguay,PAR,16,MF,Damián Bobadilla,Damián,Bobadilla,BOBADILLA,"July 11, 2001",São Paulo,,19,1,cross_checked,high
Paraguay,PAR,17,FW,Kaku,,Kaku,KAKU,"January 11, 1995",Al Ain,,33,6,cross_checked,high
Paraguay,PAR,18,FW,Álex Arce,Álex,Arce,ARCE,"June 16, 1995",Independiente Rivadavia,,15,1,cross_checked,high
Paraguay,PAR,19,FW,Julio Enciso,Julio,Enciso,ENCISO,"January 23, 2004",Strasbourg,,32,4,cross_checked,high
Paraguay,PAR,20,MF,Braian Ojeda,Braian,Ojeda,OJEDA,"June 27, 2000",Orlando City SC,,17,0,cross_checked,high
Paraguay,PAR,21,FW,Gabriel Ávalos,Gabriel,Ávalos,ÁVALOS,"July 9, 1991",Independiente,,23,2,cross_checked,high
Paraguay,PAR,22,GK,Gastón Olveira,Gastón,Olveira,OLVEIRA,"April 21, 1993",Olimpia,,1,0,cross_checked,high
Paraguay,PAR,23,MF,Matías Galarza,Matías,Galarza,GALARZA,"February 11, 2002",Atlanta United FC,,15,3,cross_checked,high
Paraguay,PAR,24,MF,Gustavo Caballero,Gustavo,Caballero,CABALLERO,"September 21, 2001",Portsmouth,,2,1,cross_checked,high
Paraguay,PAR,25,FW,Isidro Pitta,Isidro,Pitta,PITTA,"August 14, 1999",Red Bull Bragantino,,5,0,cross_checked,high
Paraguay,PAR,26,DF,Alexandro Maidana,Alexandro,Maidana,MAIDANA,"July 26, 2005",Talleres,,2,1,cross_checked,high
Türkiye,TUR,1,GK,Mert Günok,Mert,Günok,GÜNOK,"March 1, 1989",Fenerbahçe,,37,0,cross_checked,high
Türkiye,TUR,2,DF,Zeki Çelik,Zeki,Çelik,ÇELIK,"February 17, 1997",Roma,,61,3,cross_checked,high
Türkiye,TUR,3,DF,Merih Demiral,Merih,Demiral,DEMIRAL,"March 5, 1998",Al-Ahli,,62,6,cross_checked,high
Türkiye,TUR,4,DF,Çağlar Söyüncü,Çağlar,Söyüncü,SÖYÜNCÜ,"May 23, 1996",Fenerbahçe,,60,2,cross_checked,high
Türkiye,TUR,5,MF,Salih Özcan,Salih,Özcan,ÖZCAN,"January 11, 1998",Borussia Dortmund,,30,1,cross_checked,high
Türkiye,TUR,6,MF,Orkun Kökçü,Orkun,Kökçü,KÖKÇÜ,"December 29, 2000",Beşiktaş,,50,4,cross_checked,high
Türkiye,TUR,7,FW,Kerem Aktürkoğlu,Kerem,Aktürkoğlu,AKTÜRKOĞLU,"October 21, 1998",Fenerbahçe,,52,15,cross_checked,high
Türkiye,TUR,8,FW,Arda Güler,Arda,Güler,GÜLER,"February 25, 2005",Real Madrid,,29,6,cross_checked,high
Türkiye,TUR,9,FW,Deniz Gül,Deniz,Gül,GÜL,"July 2, 2004",Porto,,8,2,cross_checked,high
Türkiye,TUR,10,MF,Hakan Çalhanoğlu,Hakan,Çalhanoğlu,ÇALHANOĞLU,"February 8, 1994",Inter Milan,,105,22,cross_checked,high
Türkiye,TUR,11,FW,Kenan Yıldız,Kenan,Yıldız,YILDIZ,"May 4, 2005",Juventus,,28,5,cross_checked,high
Türkiye,TUR,12,GK,Altay Bayındır,Altay,Bayındır,BAYINDIR,"April 14, 1998",Manchester United,,12,0,cross_checked,high
Türkiye,TUR,13,DF,Eren Elmalı,Eren,Elmalı,ELMALI,"July 7, 2000",Galatasaray,,23,0,cross_checked,high
Türkiye,TUR,14,DF,Abdülkerim Bardakcı,Abdülkerim,Bardakcı,BARDAKCI,"September 7, 1994",Galatasaray,,27,2,cross_checked,high
Türkiye,TUR,15,DF,Ozan Kabak,Ozan,Kabak,KABAK,"March 25, 2000",TSG Hoffenheim,,30,2,cross_checked,high
Türkiye,TUR,16,MF,İsmail Yüksek,İsmail,Yüksek,YÜKSEK,"January 26, 1999",Fenerbahçe,,32,1,cross_checked,high
Türkiye,TUR,17,FW,İrfan Can Kahveci,İrfan Can,Kahveci,KAHVECI,"July 15, 1995",Kasımpaşa,,47,6,cross_checked,high
Türkiye,TUR,18,DF,Mert Müldür,Mert,Müldür,MÜLDÜR,"April 3, 1999",Fenerbahçe,,45,3,cross_checked,high
Türkiye,TUR,19,FW,Yunus Akgün,Yunus,Akgün,AKGÜN,"July 7, 2000",Galatasaray,,19,4,cross_checked,high
Türkiye,TUR,20,DF,Ferdi Kadıoğlu,Ferdi,Kadıoğlu,KADIOĞLU,"October 7, 1999",Brighton & Hove Albion,,30,2,cross_checked,high
Türkiye,TUR,21,FW,Barış Alper Yılmaz,Barış Alper,Yılmaz,YILMAZ,"May 23, 2000",Galatasaray,,35,4,cross_checked,high
Türkiye,TUR,22,MF,Kaan Ayhan,Kaan,Ayhan,AYHAN,"November 10, 1994",Galatasaray,,73,5,cross_checked,high
Türkiye,TUR,23,GK,Uğurcan Çakır,Uğurcan,Çakır,ÇAKIR,"April 5, 1996",Galatasaray,,39,0,cross_checked,high
Türkiye,TUR,24,FW,Oğuz Aydın,Oğuz,Aydın,AYDIN,"October 27, 2000",Fenerbahçe,,11,0,cross_checked,high
